revId,appId,text,revDate,revRating,revOwner
49067,21," good app for photo editing...","May 8, 2019",5,"mohona jesmin"
49068,21," amazing","May 8, 2019",5,"Muhammad Raza"
49069,21," so easy to use","May 8, 2019",5,"Zach Laboy"
49070,21," Really easy and nice to use. Even without pro mode it offers tons for editing","May 8, 2019",5,"Mama N"
49071,21," ok","May 8, 2019",5,"Airul Zack II"
49072,21," great free app","May 8, 2019",5,"Chryssula Kokossulis"
49073,21," good APK","May 8, 2019",5,"RAAJ VEER"
49074,21," good one","May 8, 2019",5,"Ludmila Stana"
49075,21," SO FUN PLS MAKE MORE","May 8, 2019",5,"Joe Ithell"
49076,21," Nice options to work with, thanks!Great results!","May 8, 2019",5,"John Scheider"
49077,21," its so very nice","May 8, 2019",5,"Erika Avenido"
49078,21," Love it","May 8, 2019",5,"Collins Nnadozie"
49079,21," good","May 8, 2019",5,"Ram Jat"
49080,21," It's great! Everything I need to edit photos. Just one question. How do you get the effect of the translucent guy with a picture of a landscape behind him with a white background? Please do let me know. thanks","May 8, 2019",5,JGrid
49081,21," ankitmaurya","May 8, 2019",5,"A Google user"
49082,21," so far i really enjoy this app! easy to use, with wonderful features ","May 8, 2019",5,"Rabecca Sisson"
49083,21," best app for picture editing","May 8, 2019",5,"sri vishnu"
49084,21," super","May 8, 2019",4,"Kanchetty Srikanth"
49085,21," love it","May 8, 2019",5,"Nirab Sonowal"
49086,21," good resolution and high quality image","May 8, 2019",4,"Clement Rickson"
49087,21," it is the best in the entire world love it","May 8, 2019",5,"megan Fourie"
49088,21," easy to operate","May 8, 2019",5,"venkata krishna mn"
49089,21," Awesome app i loving i use now this app","May 8, 2019",5,"Adp Gold"
49090,21," so helpful","May 8, 2019",5,"Erlene Empuesto"
49091,21," nice","May 8, 2019",3,"Angela Deloria"
49092,21," ","May 8, 2019",5,"Yana Vash"
49093,21," ","May 8, 2019",5,"jeneth evangelin"
49094,21," wonderful app, its got everything needed to make photo life sweet","May 8, 2019",5,"utibe umoh"
49095,21," nyc one","May 8, 2019",5,"Sreenivas Sv"
49096,21," nice aop","May 8, 2019",5,"Good Boy007"
49097,21," i loved this app","May 8, 2019",5,"Kesy Angel"
49098,21," easy and fast","May 8, 2019",4,"Aneeqah Davids"
49099,21," fun and very useful for having fun and doing school work. I love it","May 7, 2019",5,"Megan Broomfield"
49100,21," love it","May 7, 2019",5,"Alicia McNeely"
49101,21," super","May 7, 2019",5,"Fjkfkgkfhgffjfjhjhpjvwjfjhd Hrjjeojrkfjie"
49102,21," Excellent app","May 7, 2019",5,"Prasenjit Chatterjee"
49103,21," best app","May 7, 2019",5,"Maharaja Raja"
49104,21," nice","May 7, 2019",5,"vikkash asking"
49105,21," very nice app.","May 7, 2019",5,"harish tiwari"
49106,21," easy to use.great","May 7, 2019",5,"moose ox"
49107,21," so many ad's. not only when you're opening this app but it appears on the mobile screen also, it's really very irritating and isn't being uninstalled","May 7, 2019",1,"Aditya Kumar"
49108,21," superb app","May 7, 2019",5,"Kishor Bharti"
49109,21," LIKE IT VERY MUCH THANK U!!!","May 7, 2019",5,"TY LLOYD EDWARD HOLDER"
49110,21," worked well for me ... a great app","May 7, 2019",5,"Vannshikhaa relwani"
49111,21," ","May 7, 2019",5,"Jacob Mccullough"
49112,21," Very very less features for free and too much unnecessary advertisements.","May 7, 2019",1,"Riyma Ranjita"
49113,21," Good","May 7, 2019",5,"Rajendra Meena"
49114,21," great app to add effects to photos taken by cameras","May 7, 2019",5,"Taylor Williams"
49115,21," Good luck","May 7, 2019",5,"Raju Nishad"
49116,21," aww","May 7, 2019",5,"deon hamilton"
49117,21," awesome","May 7, 2019",5,"Lian Gualnam"
49118,21," yesterday ,i download this app & i found it very amazing and useful..","May 7, 2019",5,"Thenameis vivek"
49119,21," Love it just a problem on purchasing method isn't available worldwide.. Hope there's a way to solve this problem.. All is well except that.. If improved then u r unbeatable keep it up..","May 7, 2019",4,"lee ju"
49120,21," really easy to use features that look really great","May 7, 2019",5,"seven out"
49121,21," super nice","May 7, 2019",5,"Vicky viki"
49122,21," it's the best thing ever you can make really cute pictures I love it.","May 7, 2019",5,"Maria Jaramillo"
49123,21," very very go0d","May 7, 2019",5,"anis soltani"
49124,21," excellent","May 7, 2019",5,"Niqui Rughbeer"
49125,21," fine","May 7, 2019",4,"Tayyaba Malik"
49126,21," awesome","May 7, 2019",5,"Rhianon Banks"
49127,21," Magnificent","May 7, 2019",5,"george masukusa"
49128,21," nice","May 7, 2019",5,"Mikeygd D"
49129,21," Love it!","May 7, 2019",5,"Karmonique Morris"
49130,21," good","May 7, 2019",5,"Sidarth Khundrakpam"
49131,21," Nice and easy to edit","May 7, 2019",5,"Vijaya Kumar"
49132,21," superb","May 7, 2019",5,"Chikun Mohanty"
49133,21," great","May 7, 2019",5,"Shanade Stephen"
49134,21," good","May 7, 2019",5,"Amaan Khan"
49135,21," this is the best app for pictures","May 7, 2019",4,"Mr. makesar"
49136,21," very nice.. easy to use","May 7, 2019",4,"Mohan Alluri"
49137,21," best photo editor app 4 me","May 7, 2019",5,"Anil Sarma"
49138,21," Good aap","May 7, 2019",5,"Yaseen Mohiuddin"
49139,21," great","May 7, 2019",5,"Sonny Groce"
49140,21," I ABSOLUTELY LOVE THIS PHOTO EDITING APP!!!! There's tons of options to change/edit photos!! You will never get bored!!!!","May 7, 2019",5,"Laura Suggs"
49141,21," wow","May 7, 2019",5,"choinu tuibuang"
49142,21," I changed my mind this app is very good","May 7, 2019",5,"jana omar ibrahim"
49143,21," best","May 7, 2019",5,"Abhishek Kushwaha"
49144,21," great!","May 7, 2019",5,"Omata Patrick"
49145,21," quiet good","May 7, 2019",4,"rahmad ramadhan"
49146,21," nice","May 7, 2019",5,"Abhiram Bojja"
49147,21," not free app","May 7, 2019",1,"Sundeep Kumar"
49148,21," Nice editor photos","May 7, 2019",5,"Claudy Star Raffles"
49149,21," nice","May 7, 2019",4,"MD : SHADEK AHMED"
49150,21," excellent","May 7, 2019",5,"Jorge Alexander Solano Castillo"
49151,21," Nice application loving it ","May 7, 2019",5,"Anvi Paradkar"
49152,21," I love it! it's good","May 7, 2019",5,"Freyja Pablo"
49153,21," OK","May 7, 2019",3,"Duong Tran"
49154,21," free version is pretty good","May 7, 2019",5,"Mid West Brutality"
49155,21," is perfect for what I need to do so far","May 7, 2019",5,"Shirley Angus"
49156,21," great little app fun and ez to use","May 7, 2019",5,"William Kong"
49157,21,"  To Good H . Kiya Kiya kar rahi hoo aap bhi nahi ho gaya hai to u know what","May 7, 2019",5,"Arif Khan"
49158,21," usefull ","May 7, 2019",5,"Haneul Kim"
49159,21," very nice app.","May 7, 2019",5,"Bonafide Integrated General Services"
49160,21," good","May 6, 2019",5,"surya singh"
49161,21," Nice app","May 6, 2019",5,"Usama Tariq"
49162,21," this app is amazing but actually it's a great app","May 6, 2019",5,"revu Harshitha"
49163,21," outstanding","May 6, 2019",5,"Frank Tumagole"
49164,21," Avi Ramar vadivu 10/10/2006","May 6, 2019",5,"ramer Vadivu"
49165,21," definitely a","May 6, 2019",1,"Chitesh Kumar"
49166,21," very good","May 6, 2019",5,"Peyman Afrabi"
49167,21," Best editor I've ever used. You can change eye colour and slim your face. Girls can add a few cups to their chest size or turn a flat butt into a Ms Minaj replica. Guys can add abs, a goatee or a tattoo that's realistic and not obvious stickers. All for less than $15 AUD p/a. Its seriously that good...Full ReviewBest editor I've ever used. You can change eye colour and slim your face. Girls can add a few cups to their chest size or turn a flat butt into a Ms Minaj replica. Guys can add abs, a goatee or a tattoo that's realistic and not obvious stickers. All for less than $15 AUD p/a. Its seriously that good my Apple addicted daughter literally cried upon learning it's only available for Android. Developer's? Is there any chance it'll be available on iOS?","May 6, 2019",5,"MumaCass 78"
49168,21," nyc app","May 6, 2019",5,"Sam Arshad"
49169,21," great app i just wished that you could fix the blur better","May 6, 2019",3,"gabriel moore"
49170,21," i really like it for small fixes and quickly done this is not correct in what is charged in the beginning snd i love my stop app from being hacked on my account by taking more than they say","May 6, 2019",5,"Jereferol Mcgrew"
49171,21," awesomw","May 6, 2019",5,"Joseph Hutchinson"
49172,21," Very Helpful & Easy app to handle. thank you its team","May 6, 2019",5,"Suraj Darokar"
49173,21," its so very nice and good for editing that i just needed!!!!","May 6, 2019",5,"Hailey Gravela"
49174,21," great at editing photos","May 6, 2019",5,"Laisah Martinez"
49175,21," nice","May 6, 2019",4,"Ramakrishna bantu"
49176,21," cause its give me more good photos thats why 5 star","May 6, 2019",5,"Angelica Taa"
49177,21,"  ","May 6, 2019",5,"m zeedi"
49178,21," A1 pic..","May 6, 2019",5,"Sharma Ji"
49179,21," Just the best experience I've had editing photos.","May 6, 2019",5,"Jose Munoz Domenech"
49180,21," Good apps","May 6, 2019",5,"Irene Kurniati"
49181,21," wow","May 6, 2019",5,"jhandi's channel monsanto"
49182,21," ","May 6, 2019",5,"Youssef Hany"
49183,21," Good","May 6, 2019",5,"Prasun Hasan"
49184,21," best","May 6, 2019",5,"Danesh Rampersad"
49185,21," the worst app ever believe you don't want to install it","May 6, 2019",1,"Mp Mp"
49186,21," amazing","May 6, 2019",5,"Rola Pe Gaya"
49187,21," Good","May 6, 2019",5,"Hercules Caasi"
49188,21," you have to buy filters","May 6, 2019",1,"Emily Boomhower"
49189,21," amazing app!!!","May 6, 2019",5,"REALITY SHOW"
49190,21," very veery nicetnks","May 6, 2019",5,"Zahra Aghaei"
49191,21," Very fun and simple to use!","May 6, 2019",5,"Emily Jackson"
49192,21," nice aap from mukul verma kanpur photo editior verry good aap do edit photo","May 6, 2019",5,"Mukul Verma"
49193,21," Good , but again nd again covered by Aids . so feeling bad","May 6, 2019",2,"Sibbin Soft Pvt.Ltd."
49194,21," just amazing this app is a must for editing pictures.","May 6, 2019",5,"Austin Chism"
49195,21," so far this app is very useful!!","May 6, 2019",5,"Sarah Thomas"
49196,21," good","May 6, 2019",5,"Smith Boylon"
49197,21," This app is easy to use and helps me with my creative designing ideas....very cool! I've had it for a couple of years. definitely a staple app!!!!!","May 6, 2019",5,"Marjanna Anderson"
49198,21," Great","May 6, 2019",5,"Manpreet singh"
49199,21," Love it!","May 6, 2019",5,"Beverly Curl"
49200,21," nice app","May 6, 2019",4,"Michael Regon"
49201,21," nice","May 6, 2019",5,"Samrth Agarwal"
49202,21," its great ","May 6, 2019",5,"yandii thobile"
49203,21," Great app. Effects are best. if you can please release another options free too.","May 6, 2019",5,"Bharatha Rajapaksha"
49204,21," Good","May 6, 2019",5,"Rani Gaja"
49205,21," nice and easy app","May 6, 2019",5,"Sri Lucky Home"
49206,21," k good","May 6, 2019",2,"Ch Aruna"
49207,21," Nice app","May 6, 2019",5,"rupa shah"
49208,21," its good!!!","May 6, 2019",5,"Farisah Razed"
49209,21," nice app","May 6, 2019",5,"Subra Sanku Ghosh"
49210,21," super","May 6, 2019",5,"Pradeep gowda"
49211,21," ","May 6, 2019",5,"Isbah Ah"
49212,21," nice app","May 6, 2019",5,"Tezinder Singh"
49213,21," nice app","May 6, 2019",5,"IMRAN KHAN"
49214,21," its awesome.!!","May 6, 2019",5,"Eng.Ramadhani Lusonge"
49215,21," good app","May 6, 2019",5,"Ramy Darwish"
49216,21," nice","May 6, 2019",5,"Anisa Bella"
49217,21," It's a good app","May 6, 2019",5,"Monir Hossain"
49218,21," vari good app","May 5, 2019",5,"Pooja Yadav"
49219,21," excellent","May 5, 2019",5,"Nithin Kumar"
49220,21," nice aap","May 5, 2019",5,"Mohit Kumar"
49221,21," mast","May 5, 2019",5,"Abhyuday Malvi"
49222,21," good","May 5, 2019",5,"Naufal Rosli"
49223,21," Awesome","May 5, 2019",5,"Joseph Cola"
49224,21," good","May 5, 2019",5,"Vishwakarma Machinery Works & Fabrication"
49225,21," love this apps..work so good","May 5, 2019",5,"Ruvylyn Celiz"
49226,21," bust","May 5, 2019",5,"risdi aldam"
49227,21," It's pretty handy & easy to navigate... Has decent free filters and I enjoy it so far","May 5, 2019",4,"Genie whynot"
49228,21," good experience","May 5, 2019",5,"Alyssa Padua"
49229,21," WOW!! NICE APP NOT BAD . SO, THANKS ","May 5, 2019",4,"MESHWA DESAI"
49230,21," awesome options","May 5, 2019",5,"Sampath Kumar"
49231,21," I love photography this app is so awesome I can do so many things I love it","May 5, 2019",5,"Ana Gonzalez"
49232,21," easy to use","May 5, 2019",5,"William Parent"
49233,21," i love photo Editor","May 5, 2019",5,"Andrei Nicole Impas"
49234,21," great app with ease of use","May 5, 2019",5,"Stephen Dumenu"
49235,21," fantastic pro editor app","May 5, 2019",5,"Fady Fady"
49236,21," it is soo fun","May 5, 2019",5,"Romey Plunkett"
49237,21," love it","May 5, 2019",5,"Allen N"
49238,21," mxwaaaa","May 5, 2019",5,"Carter Nfakosi"
49239,21," works well","May 5, 2019",4,"Daniel Sanchez"
49240,21," love this app very much almost no ads the only problem is that when you crop it it gets blurry but other than that this app is amazing its like 5 apps into one you dont have to download a ton of apps to get the perfect picture because you can get it right here :)))","May 5, 2019",4,"ITZ LORENA"
49241,21," great","May 5, 2019",5,"Shana Allison"
49242,21," it was easy to use...","May 5, 2019",5,"Alecia Harvey"
49243,21," i love it","May 5, 2019",5,"Thobbekani Mdata"
49244,21," I lllllove it","May 5, 2019",5,"farhad neisi"
49245,21," thanks for helping really good app","May 5, 2019",5,"azhar khatri"
49246,21," i use it for 2 weeksnow. I s ok to use.","May 5, 2019",4,"Jenny van Formosa"
49247,21," good","May 5, 2019",4,"ahmed anwar"
49248,21," good ","May 5, 2019",5,"Harihar Sahoo"
49249,21," yeah","May 5, 2019",5,"ksea green"
49250,21," it is very use full","May 5, 2019",5,"Sumit Pandey"
49251,21," very nice & useful app.","May 5, 2019",5,"MR Nobody"
49252,21," very good","May 5, 2019",4,"Kyra Butterworth"
49253,21," best","May 5, 2019",5,"Me Al"
49254,21," Afath re raja","May 5, 2019",5,"Adarsh Kumar"
49255,21," cool","May 5, 2019",5,"Kiyana Gibson"
49256,21," Ganesh Dixit","May 5, 2019",5,"Gudiya Dixit"
49257,21," nice","May 5, 2019",4,"Ali Ahmed"
49258,21," very nice","May 5, 2019",1,"dhanraj manwar"
49259,21," superb photo editing tool.","May 5, 2019",5,"om shankar mishra"
49260,21," nice App ","May 5, 2019",5,"FlickShot SoHaM"
49261,21," perfect","May 5, 2019",5,"Find the Qstir"
49262,21," loved it","May 5, 2019",5,"iqra mubeen"
49263,21," nice","May 5, 2019",5,"Krishna Kumar"
49264,21," goooood","May 5, 2019",5,"ARIYA YS"
49265,21," boring","May 5, 2019",4,"Abhay Rawat"
49266,21," super","May 5, 2019",5,"Himanshu Verma"
49267,21," apik","May 5, 2019",5,"Syafaatun Mirzanah"
49268,21," great","May 5, 2019",5,"Michael nigusse"
49269,21," nice editing app ever","May 5, 2019",5,"Chris King"
49270,21," Very easy to use","May 5, 2019",5,"Eddie Ovington"
49271,21," great free app ","May 5, 2019",5,"phirdos ali"
49272,21," amazing app . loved how easy it is to edit pics!!!","May 5, 2019",5,itsavage
49273,21," really nice app for my basic editting","May 5, 2019",5,"jack menon"
49274,21," this is amazing i luv it , the thing i just kinda concered is that i need to pay for some of it , but i think it worth it","May 5, 2019",5,"Adinda Nabila"
49275,21," amazing app... just loved it. Now i can easily edit my photos with amazing features.","May 5, 2019",5,"Vanshika Sharma"
49276,21," not that great","May 5, 2019",4,"Edgar Serrem"
49277,21," please stay low on storage (MB) of this app, i love all the tools in your app","May 5, 2019",5,Ally
49278,21," good on it","May 5, 2019",5,"MHA TV"
49279,21," Its good for editting","May 5, 2019",5,"SD music"
49280,21," ok","May 5, 2019",5,"Prince umair"
49281,21," good","May 5, 2019",5,"Saptarshi Mandal"
49282,21," Really enjoyed this app you guys did a wonderful job!","May 5, 2019",5,"Iflah Hussain"
49283,21," nice app","May 5, 2019",5,"Krishna Bhavsar"
49284,21," Amazing.","May 5, 2019",5,"Brian Rascoe"
49285,21," super aap","May 5, 2019",2,"Ashish Bhai2"
49286,21," good","May 5, 2019",4,"Anusha Munnuru"
49287,21," super...","May 4, 2019",5,"Milos Minic"
49288,21," nyc aap","May 4, 2019",5,"RITIK PATEL"
49289,21," Yeah","May 4, 2019",5,"Grace Napao"
49290,21," ausssm","May 4, 2019",5,"Rashami Vyas"
49291,21," Easy & Good ","May 4, 2019",5,"Shraddha Islam"
49292,21," it working very easy","May 4, 2019",5,"Rubel Mir"
49293,21," nice","May 4, 2019",5,"Rahul Mhatre"
49294,21," aswome app","May 4, 2019",5,"Pratick Kabiraj"
49295,21," too bad nothing","May 4, 2019",1,"Sachin Gurjar"
49296,21," its nice","May 4, 2019",5,"Gwapa Ko"
49297,21," it's okay??","May 4, 2019",3,"Swan Moristo"
49298,21," good app, easy to use","May 4, 2019",5,"Bibala Reket Andy"
49299,21," ","May 4, 2019",5,"Marzieh Arjmandi"
49300,21," easy to use app with many simple features","May 4, 2019",5,"Miller Palaniswamy"
49301,21," jdjsl","May 4, 2019",5,"Kutu Sharma"
49302,21," Very good tools available","May 4, 2019",4,"flor moran"
49303,21," gud app","May 4, 2019",5,"Dandu Santosh Kumar"
49304,21," rr","May 4, 2019",4,"Abhinav Minhas"
49305,21," it is good","May 4, 2019",5,"gaming with. Nevaeh"
49306,21," like it","May 4, 2019",5,"Remo Riyaz"
49307,21," good app","May 4, 2019",5,"Sami Ahmed"
49308,21," powli,super","May 4, 2019",5,"niyas ks"
49309,21," Fantastic app","May 4, 2019",5,"real mystery India partap"
49310,21," good","May 4, 2019",5,"Isaac Hall"
49311,21," Easy photo editor. Anyone can use this quickly and easily.","May 4, 2019",5,"Genna Biermann"
49312,21," Sooooooooo Nice Appppppp ","May 4, 2019",5,"AK KHAN"
49313,21," love it! better than all I have played with","May 4, 2019",5,lovherson1
49314,21," hihi GOOD editor","May 4, 2019",5,"parweez mohman"
49315,21," I will be in touch","May 4, 2019",5,"the only Bulbasaur lover in Pokemon Oliver"
49316,21," is very good","May 4, 2019",5,"romulo rocha"
49317,21," wow","May 4, 2019",5,"Roy Buck"
49318,21," exactly what I'm looking for","May 4, 2019",5,"russel corr"
49319,21," this is amazing I can edit my videos and pictures perfectly,  I love this app and I hope you do to, ","May 4, 2019",5,"lollipopmazement gacha life"
49320,21," wonderful","May 4, 2019",5,"Isabel Enechi"
49321,21," it's an amazing app I love everything about it there is nothing wrong with it","May 4, 2019",5,"Ellie Glover"
49322,21," hhhhhhh","May 4, 2019",5,"Raja Raja"
49323,21," i love h","May 4, 2019",5,"Vicky Sahu"
49324,21," this app is fantastic it works perfectly good the ads are not disturbing you at all , you can even be doing what you want with out any ad bordering you i will give a five star rating for this app.","May 4, 2019",5,"Jalal Arabi Dasuki"
49325,21," Excellent","May 4, 2019",5,Cateye
49326,21," nice app","May 4, 2019",5,"Selva Selva"
49327,21," coll","May 4, 2019",4,"SuperStars *"
49328,21," nice","May 4, 2019",5,"Mahesh Kondar"
49329,21," nice and u have to some more","May 4, 2019",5,"pssp creations"
49330,21," ok","May 4, 2019",5,"Erwin Setiawan"
49331,21," nice","May 4, 2019",5,"Sumi Verma PO"
49332,21," lots of fun!","May 4, 2019",5,"Brian Avery"
49333,21," Very Good for quick editing !!!!","May 4, 2019",5,"Nijo Chax"
49334,21," very good","May 4, 2019",5,"Sanjay Sengupta"
49335,21," dope","May 4, 2019",5,"Fraser Mensah"
49336,21," good","May 4, 2019",4,"G. Ranganathan"
49337,21," awesome ","May 4, 2019",5,"Antuan Pagan"
49338,21," this is an ok app. I've seen better","May 4, 2019",5,jessica
49339,21," very nice","May 4, 2019",5,"Radhika Banerjee"
49340,21," perfect","May 4, 2019",5,"Mitchell Zinhle"
49341,21," laik","May 4, 2019",5,"Mani Arjomandzade"
49342,21," ok","May 4, 2019",5,"FAZH Channel"
49343,21," I Would Like To Thank The App Makers Because Its A Very Great Photo Editor App. Its Helpful,Useful And Has A Large Amount Of Diffrent Tool To Make You Photo Look Awesome I Totaly Give It 5 Star Due To The Massive Amout Of Tools That It Gives You. And I Also Love That It Shows You Difrent Sizes To Fi...Full ReviewI Would Like To Thank The App Makers Because Its A Very Great Photo Editor App. Its Helpful,Useful And Has A Large Amount Of Diffrent Tool To Make You Photo Look Awesome I Totaly Give It 5 Star Due To The Massive Amout Of Tools That It Gives You. And I Also Love That It Shows You Difrent Sizes To Fit Perfectly In Instagram,Whatsapp,Facebook Etc. Thank You App Creators Keep Up The Good Work ","May 4, 2019",5,xXGhostGamer2014Xx
49344,21," good","May 4, 2019",5,"supdog FORTNITE"
49345,21," It's soo amazing but you need to add food :)","May 4, 2019",5,"Green Gloucier"
49346,21," 3 words WOW","May 4, 2019",5,"Zafar Seepye"
49347,21," Love this","May 4, 2019",5,"Bushra Zohaib"
49348,21," very nice app","May 4, 2019",5,"Lyle Gatal"
49349,21," excellent","May 4, 2019",5,"Julyen Cubillas"
49350,21," i am impress","May 4, 2019",5,"Mohammad Shuaib"
49351,21," nice one.loved it","May 3, 2019",5,"The Bolt"
49352,21," good","May 3, 2019",5,"Amir Sohail"
49353,21," very mazin love this","May 3, 2019",5,"Farhan Ahmed"
49354,21," fantastic","May 3, 2019",5,"obiegeonu chinaecherem"
49355,21," So for so good. First app where I can have up to 18 photograph in a collage.","May 3, 2019",4,"Lynn Rachael Maddix"
49356,21," nice Aap","May 3, 2019",5,"Deep Shikha"
49357,21," very good","May 3, 2019",5,"Mohd Jinih"
49358,21," it is ","May 3, 2019",5,"Momad Tolabi"
49359,21," really good","May 3, 2019",5,"Dilshani Abeynayake"
49360,21," solid picture app","May 3, 2019",5,"Trevor Sanders"
49361,21," very good","May 3, 2019",5,"Nazanin Karimi"
49362,21," Kicking butt","May 3, 2019",5,"Edna Taylor"
49363,21," erode","May 3, 2019",1,"ESU MANI R"
49364,21," very nice","May 3, 2019",5,"Mandisa R"
49365,21," superb app I like it","May 3, 2019",5,"Bhola Babu"
49366,21," bestest of the best","May 3, 2019",5,"Bibek Dhungel"
49367,21," Easy to use and has many options for your pictures. best photo editor app i have used .","May 3, 2019",5,"Margo Gorman"
49368,21," nice","May 3, 2019",5,"nikhil kumar"
49369,21," Nice","May 3, 2019",4,"sunny bro"
49370,21," i love it","May 3, 2019",5,"samson chitalu"
49371,21," very nice","May 3, 2019",4,"Vanita Mishra"
49372,21," ","May 3, 2019",5,"NARAPINNI ANIL"
49373,21," good","May 3, 2019",5,"wt123 wt123"
49374,21," I have just used it once, put stickers on a photo. Very user friendly. Hope to have more choices.","May 3, 2019",5,"An Lim"
49375,21," Are you kidding me ? I just wasted my time. You have to pay almost for every filters...","May 3, 2019",1,"ASMR VET"
49376,21," easy to use","May 3, 2019",5,"drughi young"
49377,21," good perfect fabulous","May 3, 2019",5,"Abigail Millien"
49378,21," lalalupsi.","May 3, 2019",5,"Bahog Kudo Latbi Om"
49379,21," I love this app! I really like how you can glitch your photo to look cooler. Its a great app. I recommend downloading this app","May 3, 2019",5,"Antonio_ FCS"
49380,21," very good app","May 3, 2019",5,"SUYOG SHARMA TIPS AND TRICKS"
49381,21," is nicee","May 3, 2019",5,"Martin Magnia"
49382,21," loved it!","May 3, 2019",5,"Toko Sika"
49383,21," super","May 3, 2019",5,"Surya Suname"
49384,21," excellent","May 3, 2019",5,"muhammad haroon"
49385,21," its amazing","May 3, 2019",5,"Marianna Montalvo"
49386,21," Great","May 3, 2019",5,"JAAN IMDAD"
49387,21," THIS IS AMAZING!!! HOLY DAMN!! I never go out of my way to leave a good review but for this app did i have to. If there were more stars i would give+++++ Its a must download!!!!","May 3, 2019",5,"Fuglies- -"
49388,21," ","May 3, 2019",5,"Hesam Daneshgari"
